title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
Caste: The Origins of Our Discontents,"August 4, 2020",Isabel Wilkerson,Nonfiction,4.53,"1,47,973",544,26,English,39.4k,334k
Network Effect,"May 5, 2020",Martha Wells,Science Fiction,4.47,"98,031",352,27,English,"6,337",42.8k
Boot: A Sorta Novel of Vietnam,"March 3, 2020",Charles L. Templeton,Historical Fiction,4.56,196,393,28,English,37,"1,831"
Tweet Cute,"January 21, 2020",Emma Lord,Romance,3.89,"77,083",368,29,English,"2,243",113k
Hamnet,"March 31, 2020",Maggie O'Farrell,,4.2,"2,84,970",372,30,English,24.1k,320k
The Glass Hotel,"March 24, 2020",Emily St. John Mandel,Fiction,3.69,"1,82,439",307,31,English,14.2k,242k
Oona Out of Order,"February 25, 2020",Margarita Montimore,Fiction,3.86,"88,430",339,32,English,"5,333",98.5k
Midnight Sun,"August 4, 2020",Stephenie Meyer,Fantasy,3.73,"2,75,740",756,33,English,"1,054",12.4k
Home Before Dark,"June 30, 2020",Riley Sager,Horror,4.06,"2,39,743",389,34,English,"8,308",304k
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz","February 25, 2020",Erik Larson,History,4.3,"1,24,722",546,35,English,33.9k,180k
A Deadly Education,"September 29, 2020",Naomi Novik,Fantasy,3.95,"1,91,119",320,36,English,11.5k,379k
A Fairy Awesome Story,"November 30, 2020",Ellie Aiden,Reverse Harem,3.91,635,138,37,English,90,"3,046"
The City We Became,"March 24, 2020",N.K. Jemisin,Fantasy,3.86,"74,012",437,38,English,"9,513",178k
Boyfriend Material,"July 7, 2020",Alexis Hall,LGBT,4,"1,40,973",425,39,English,"7,807",206k
Smoke Bitten,"March 17, 2020",Patricia Briggs,Urban Fantasy,4.43,"33,721",352,40,English,"2,619",15.5k
The Book of Longings,"April 21, 2020",Sue Monk Kidd,Historical Fiction,4.23,"1,31,077",416,41,English,15k,181k
Transcendent Kingdom,"August 31, 2020",Yaa Gyasi,Fiction,4.11,"1,53,829",264,42,English,"7,189",232k
Cemetery Boys,"September 1, 2020",Aiden Thomas,Fantasy,4.26,"99,675",344,43,English,"4,812",235k
Sweep with Me,"January 10, 2020",Ilona Andrews,Fantasy,4.39,"19,311",146,44,English,"2,530","3,797"
Hidden Valley Road: Inside the Mind of an American Family,"April 7, 2020",Robert Kolker,Nonfiction,4.16,"1,32,725",377,45,English,16.9k,176k
A Promised Land,"November 17, 2020",Barack Obama,Nonfiction,4.33,"2,46,165",768,46,English,68.1k,428k
One of Us Is Next,"January 7, 2020",Karen M. McManus,Mystery,3.91,"2,52,788",377,47,English,10.5k,250k
The Jane Austen Society,"May 26, 2020",Natalie Jenner,Historical Fiction,3.73,"49,148",304,48,English,"3,814",120k
The Empire of Gold,"June 11, 2020",S.A. Chakraborty,Fantasy,4.5,"63,454",766,49,English,"3,781",86.2k
Come Tumbling Down,"January 7, 2020",Seanan McGuire,Fantasy,3.91,"27,593",208,50,English,474,17.6k
The Only Good Indians,"July 14, 2020",Stephen Graham Jones,Horror,3.69,"92,643",305,51,English,"8,333",213k
A Heart So Fierce and Broken,"January 7, 2020",Brigid Kemmerer,Fantasy,3.89,"70,688",450,52,English,"3,593",84.5k
The Switch,"April 16, 2020",Beth O'Leary,Romance,3.95,"1,36,670",336,52,English,"5,271",149k
Black Sun,"October 13, 2020",Rebecca Roanhorse,Fantasy,4.19,"48,690",454,54,English,"3,601",163k
Heart Bones,"August 19, 2020",Colleen Hoover,Romance,4.22,"5,93,959",338,55,English,22.5k,415k
Deacon King Kong,"March 3, 2020",James McBride,Fiction,4.17,"73,910",370,56,English,11.1k,97.4k
Credence,"January 13, 2020",Penelope Douglas,Romance,3.68,"4,35,447",560,57,English,39.7k,317k
Troubled Blood,"September 15, 2020",Robert Galbraith,Mystery,4.38,"1,34,950",944,58,English,10.8k,42.3k
Before and After,"January 8, 2020",Andrew Shanahan,Horror,4.01,"5,097",234,59,English,597,"9,485"
From Blood and Ash,"March 29, 2020",Jennifer L. Armentrout,Romance,4.22,"6,82,385",622,60,English,45.6k,979k
Playing with Fire,"September 15, 2020",L.J. Shen,Romance,4.17,"43,876",436,61,English,"9,861",42k
If It Bleeds,"April 21, 2020",Stephen King,Horror,3.98,"1,08,411",438,62,English,409,152k
The Evening and the Morning,"September 15, 2020",Ken Follett,Historical Fiction,4.39,"1,19,804",913,63,English,15.5k,111k
Rodham,"May 19, 2020",Curtis Sittenfeld,Fiction,3.83,"46,795",420,64,English,"3,689",50.8k
Migrations,"August 4, 2020",Charlotte McConaghy,Fiction,4.13,"81,626",256,65,English,"6,954",142k
The Night Watchman,"March 3, 2020",Louise Erdrich,Fiction,4.1,"81,636",464,66,English,12.4k,142k
The Henna Artist,"March 3, 2020",Alka Joshi,Historical Fiction,4.18,"1,92,449",384,67,English,13.3k,193k
The Kingdom of Back,"March 3, 2020",Marie Lu,Fantasy,3.71,"22,619",313,68,English,"1,312",91.2k
The Thursday Murder Club,"September 3, 2020",Richard Osman,Mystery,3.88,"5,79,562",382,69,English,61.6k,464k
Eight Perfect Murders,"January 1, 2020",Peter Swanson,Mystery,3.63,"84,835",270,70,English,"3,865",84.7k
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,"July 14, 2020",Mary L. Trump,Nonfiction,3.82,"91,497",225,71,English,35k,61.2k
Heartstopper: Volume Three,"February 6, 2020",Alice Oseman,Graphic Novels,4.56,"4,66,553",384,72,English,"3,606",115k
You Deserve Each Other,"April 7, 2020",Sarah Hogle,Romance,3.9,"1,20,632",368,73,English,"3,480",229k
Dear Ava,"February 1, 2020",Ilsa Madden-Mills,Romance,4.11,"52,805",376,74,English,12.9k,49.1k
"Take a Hint, Dani Brown","June 23, 2020",Talia Hibbert,Romance,4.01,"1,04,831",400,75,English,"3,218",153k
A Good Neighborhood,"March 10, 2020",Therese Anne Fowler,,3.81,"56,406",311,76,English,"4,951",66.9k
The Mirror & the Light,"March 5, 2020",Hilary Mantel,Historical Fiction,4.4,"42,002",757,77,English,10k,67.3k
The Mountains Sing,"March 17, 2020",Nguyễn Phan Quế Mai,Historical Fiction,4.32,"50,984",352,78,English,"4,634",84.2k
The Inheritance Games,"September 1, 2020",Jennifer Lynn Barnes,Mystery,4.14,"8,66,242",386,79,English,38.4k,947k
Hate,"May 8, 2020",Tate James,Reverse Harem,4.2,"56,118",418,80,English,"8,109",53.3k
Undercover Bromance,"March 10, 2020",Lyssa Kay Adams,Romance,3.87,"57,975",338,81,English,"1,001",40.2k
Fake,"August 19, 2020",Tate James,Reverse Harem,4.36,"44,974",436,82,English,"3,703",15.4k
Fake It 'Til You Break It,"February 5, 2020",Meagan Brandy,Romance,4.1,"29,451",399,83,English,"6,539",25k
One to Watch,"July 7, 2020",Kate Stayman-London,Romance,3.88,"95,443",417,84,English,"2,081",108k
Don't Close Your Eyes,"February 20, 2014",Lynessa James,Romance,3.77,600,326,85,English,84,"7,437"
Liar,"June 23, 2020",Tate James,Reverse Harem,4.35,"48,219",448,86,English,"4,206",15.9k
The Happy Ever After Playlist,"April 14, 2020",Abby Jimenez,Romance,4.18,"2,16,412",401,87,English,"8,852",179k
The Other Mrs.,"February 18, 2020",Mary Kubica,Thriller,3.75,"1,33,127",405,88,English,"9,028",115k
The Book of Lost Friends,"April 7, 2020",Lisa Wingate,Historical Fiction,4.15,"1,08,404",388,89,English,17.9k,138k
Bront�s Mistress,"August 4, 2020",Finola Austin,Historical Fiction,3.6,"1,107",308,90,English,103,6373
One by One,"September 8, 2020",Ruth Ware,Mystery,3.73,"2,01,246",372,91,English,13.1k,174k
The Last Flight,"June 2, 2020",Julie Clark,Thriller,4.1,"2,35,955",320,92,English,27.1k,"1,948"
Complicated Moonlight,"August 30, 2020",Lynessa Layne,Reverse Harem,4.36,304,287,93,English,20,"4,053"
The Present,"July 1, 2021",Kenneth Thomas,Science Fiction,3.65,"2,305",200,94,English,16,"2,073"
The Death of Vivek Oji,"August 4, 2020",Akwaeke Emezi,Fiction,4.13,"63,533",248,95,English,"2,247",137k
Weather,"February 11, 2020",Jenny Offill,Fiction,3.55,"37,704",208,96,English,"2,012",50.8k
Little Secrets,"April 21, 2020",Jennifer Hillier,Thriller,4.22,"1,62,638",352,96,English,"8,570",206k
Be My Brayshaw,"June 2, 2020",Meagan Brandy,Romance,4.3,"13,294",468,98,English,"2,919",13.1k
The Honey-Don't List,"March 24, 2020",Christina Lauren,Romance,3.5,"74,947",308,99,English,"3,224",62.9k
The Past,"May 19, 2020",Kenneth Thomas,Science Fiction,3.93,802,195,100,English,59,"6,020"
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In","April 21, 2020",Phuc Tran,Memoir,4.3,"9,249",320,101,English,694,21k
Infinity Son,"January 14, 2020",Adam Silvera,Fantasy,3.3,"13,126",368,102,English,"1,046",46.1k
You Are Not Alone,"March 3, 2020",Greer Hendricks,Thriller,3.76,"86,028",343,103,English,"4,138",83.8k
What You Wish For,"July 14, 2020",Katherine Center,Romance,3.77,"60,589",320,104,English,"2,920",55k
The Hunter,"May 10, 2020",L.J. Shen,Romance,3.98,"51,823",394,105,English,16.4k,40.1k
Solutions and Other Problems,"September 22, 2020",Allie Brosh,Humor,4.21,"37,462",519,106,English,"2,368",58.6k
The Space Between Worlds,"August 4, 2020",Micaiah Johnson,Science Fiction,3.94,"41,082",336,107,English,"2,598",102k
Fangs,"September 1, 2020",Sarah Andersen,Graphic Novels,4.23,"47,821",115,108,English,195,73.6k
Woven in Moonlight,"January 7, 2020",Isabel Ibañez,Fantasy,3.84,"9,919",384,109,English,452,52k
Felix Ever After,"May 5, 2020",Kacen Callender,LGBT,4.23,"63,922",368,110,English,"1,724",113k
Clap When You Land,"May 5, 2020",Elizabeth Acevedo,Young Adult,4.23,"1,04,972",432,111,English,"3,215",187k
The Book of Lost Names,"July 21, 2020",Kristin Harmel,Historical Fiction,4.43,"2,32,537",388,112,English,12.9k,280k
The Once and Future Witches,"October 13, 2020",Alix E. Harrow,Fantasy,4.04,"93,381",517,113,English,10.2k,259k
Legendborn,"September 15, 2020",Tracy Deonn,Fantasy,4.33,"1,53,376",502,114,English,11.9k,425k
Where the Lost Wander,"April 28, 2020",Amy Harmon,Historical Fiction,4.4,"66,441",349,115,English,15k,86.9k
Loveless,"July 9, 2020",Alice Oseman,LGBT,4.19,"1,10,809",433,116,English,"8,006",183k
Big Lies in a Small Town,"January 14, 2020",Diane Chamberlain,,4.14,"96,167",391,117,English,"5,853",102k
A Kingdom of Flesh and Fire,"September 1, 2020",Jennifer L. Armentrout,Fantasy,4.33,"4,76,119",637,118,English,27.4k,50.6k
Emerald Blaze,"August 25, 2020",Ilona Andrews,Urban Fantasy,4.45,"26,352",392,119,English,"1,788","9,593"
The Hand on the Wall,"January 21, 2020",Maureen Johnson,Mystery,4.13,"85,384",369,120,English,"1,462",65.3k
Yes No Maybe So,"February 4, 2020",Becky Albertalli,Romance,3.72,"27,412",464,121,English,"1,025",60.3k
The Travelers Within: Into The Unknown,"July 6, 2020",Daniel Mode,Travel,4.09,129,389,122,English,17,"2,064"
Hood Feminism: Notes from the Women That a Movement Forgot,"February 25, 2020",Mikki Kendall,Nonfiction,4.37,"56,046",267,123,,"8,720",209k
The Pull of the Stars,"July 21, 2020",Emma Donoghue,Historical Fiction,3.95,"83,097",295,124,English,"5,097",115k
Twisted Kingdom,"January 22, 2020",Rina Kent,Romance,4.11,"76,515",358,125,English,"6,201",36.2k
The Unspoken Name,"February 11, 2020",A.K. Larkwood,Fantasy,3.73,"8,969",464,126,English,"1,106",46.6k
Paladin's Grace,"February 11, 2020",T. Kingfisher,Fantasy,4.1,"27,884",366,126,English,"2,127",68.4k
Cinderella Is Dead,"July 7, 2020",Kalynn Bayron,Fantasy,3.68,"80,930",400,128,English,"4,667",159k
Inappropriate,"January 18, 2020",Vi Keeland,Romance,4.12,"33,014",364,129,English,"3,257",22k
Gilded Dreams,"June 16, 2020",Donna Russo Morin,Historical Fiction,4.23,241,350,129,English,193,683
If I Never Met You,"March 5, 2020",Mhairi McFarlane,Romance,3.81,"67,692",409,131,English,"3,436",94.3k
The Yellow Bird Sings,"March 3, 2020",Jennifer Rosner,Historical Fiction,4.08,"14,247",,132,English,"1,591",30.4k
The Empress of Salt and Fortune,"March 24, 2020",Nghi Vo,Fantasy,3.94,"39,069",119,133,English,"1,955",85.5k
All Boys Aren’t Blue,"April 28, 2020",George M. Johnson,Nonfiction,4.2,"41,092",304,134,English,"2,148",94.8k
Axiom's End,"July 21, 2020",Lindsay Ellis,Science Fiction,3.72,"26,324",384,135,English,"2,722",55.2k
The Queen's Assassin,"February 4, 2020",Melissa de la Cruz,Fantasy,3.44,"18,369",384,136,English,"1,445",70.7k
Moonflower Murders,"August 20, 2020",Anthony Horowitz,Mystery,4.06,"55,772",608,137,English,"5,959",41.9k
Spoiler Alert,"October 6, 2020",Olivia Dade,Romance,3.63,"48,566",409,138,English,"1,986",90.9k
In a Holidaze,"October 6, 2020",Christina Lauren,Christmas,3.68,"2,03,881",307,139,English,10.5k,173k
The Book of Two Ways,"September 22, 2020",Jodi Picoult,Fiction,3.66,"1,02,814",416,140,English,19.2k,92k
Stranger Planet,"June 16, 2020",Nathan W. Pyle,Graphic Novels,4.47,"7,276",144,141,English,127,"7,091"
The Paris Hours,"May 5, 2020",Alex George,Historical Fiction,3.7,"14,725",272,142,English,"1,478",38.2k
The Night Swim,"August 4, 2020",Megan Goldin,Thriller,4.03,"1,13,458",341,143,English,"3,994",119k
Fable,"September 1, 2020",Adrienne Young,Fantasy,4.02,"1,03,818",357,144,English,"4,131",233k
I Will Judge You by Your Bookshelf,"April 14, 2020",Grant Snider,Graphic Novels,3.73,"20,023",128,144,English,445,46.4k
Rage,"September 15, 2020",Bob Woodward,Nonfiction,4.17,"25,046",475,146,English,14.3k,23.6k
The Shadows,"July 7, 2020",Alex North,Horror,3.74,"60,443",325,147,English,"3,283",101k
Rhythm of War,"November 17, 2020",Brandon Sanderson,Fantasy,4.62,"1,79,196",1232,148,English,25.6k,122k
Un-Trumping America: A Plan to Make America a Democracy Again,"February 18, 2020",Dan Pfeiffer,Politics,4.21,"2,683",273,149,English,477,"2,554"
The Boatman's Daughter,"February 11, 2020",Andy Davidson,Horror,3.49,"5,148",403,150,English,795,21.7k
I Want You to Know We’re Still Here: A Post-Holocaust Memoir,"March 31, 2020",Esther Safran Foer,Nonfiction,3.92,"2,558",240,151,English,357,10.5k
"A Phoenix First Must Burn: Sixteen Stories of Black Girl Magic, Resistance, and Hope","March 10, 2020",Patrice Caldwell,Fantasy,3.96,"3,136",354,152,English,337,19.1k
Break Your Glass Slippers,"March 17, 2020",Amanda Lovelace,Poetry,3.94,"15,476",160,153,English,281,32.8k
Shuggie Bain,"February 11, 2020",Douglas Stuart,Fiction,4.31,"1,67,098",430,154,English,17.5k,201k
The Wonder Boy of Whistle Stop,"October 27, 2020",Fannie Flagg,Fiction,4.1,"18,745",283,155,English,"2,109",17.4k
Chosen Ones,"April 7, 2020",Veronica Roth,Fantasy,3.59,"26,331",432,156,English,"2,735",75.9k
Greenlights,"October 20, 2020",Matthew McConaughey,Nonfiction,4.21,"3,75,038",289,157,English,24k,246k
The Authenticity Project,"February 4, 2020",Clare Pooley,Fiction,3.94,"89,142",357,158,English,"4,818",81.7k
"Check, Please! Book 2: Sticks & Scones","April 7, 2020",Ngozi Ukazu,Graphic Novels,4.39,"15,073",336,159,English,209,"8,834"
How the King of Elfhame Learned to Hate Stories,"November 24, 2020",Holly Black,Fantasy,4.17,"2,23,486",200,160,English,"4,775",205k
Anna K: A Love Story,"March 3, 2020",Jenny Lee,Romance,3.57,"17,767",400,161,English,832,34.4k
Vicious Prince,"July 12, 2020",Rina Kent,Romance,4.1,"54,072",300,162,English,"4,578",35.9k
Jack,"September 29, 2020",Marilynne Robinson,Fiction,3.86,"9,426",309,163,English,"1,754",23.9k
Harrow the Ninth,"August 4, 2020",Tamsyn Muir,Fantasy,4.29,"76,069",512,164,English,"7,444",63k
First Comes Scandal,"March 31, 2020",Julia Quinn,Romance,3.83,"40,863",288,165,English,"2,820",23.1k
A Wizard’s Guide to Defensive Baking,"July 21, 2020",T. Kingfisher,Fantasy,4.07,"51,505",306,166,English,"3,255",93.8k
Luster,"August 4, 2020",Raven Leilani,Fiction,3.52,"1,04,136",227,167,English,"6,027","8,560"
Someday in Paris,"May 14, 2020",Olivia Lara,Romance,4.15,"2,271",427,168,English,924,21.4k
Djinn Patrol on the Purple Line,"February 4, 2020",Deepa Anappara,Fiction,3.81,"11,319",347,169,English,"1,409",23.8k
Return of the Thief,"October 6, 2020",Megan Whalen Turner,Fantasy,4.48,"11,113",464,170,English,605,21.1k
"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life","April 14, 2020",Lulu Miller,Nonfiction,4.15,"45,694",225,171,English,"4,053",95.1k
Open Book,"February 4, 2020",Jessica Simpson,Memoir,4.1,"1,06,346",416,172,English,"7,200",48.8k
The Borgia Confessions,"February 11, 2020",Alyssa Palombo,Historical Fiction,3.84,869,432,173,English,72,"4,310"
His & Hers,"July 28, 2020",Alice Feeney,Thriller,4.08,"1,81,531",304,173,English,17.7k,215k
A Beautifully Foolish Endeavor,"July 7, 2020",Hank Green,Science Fiction,4.23,"52,324",452,175,English,"2,408",42.6k
The Familiar Dark,"March 31, 2020",Amy Engel,Thriller,3.74,"8,604",238,176,English,372,20.8k
Ring Shout,"October 13, 2020",P. Djèlí Clark,Horror,3.98,"39,715",185,177,English,"1,839",99.3k
Hiding in Plain Sight: The Invention of Donald Trump and the Erosion of America,"April 7, 2020",Sarah Kendzior,Nonfiction,4.43,"4,163",320,178,English,"1,492","8,127"
When We Were Vikings,"January 28, 2020",Andrew David MacDonald,Fiction,3.84,"13,109",336,179,,677,33.3k
Victory at Prescott High,"November 30, 2020",C.M. Stunich,Reverse Harem,4.36,"13,493",,180,English,"2,465","4,400"
The Dictionary of Lost Words,"March 31, 2020",Pip Williams,Historical Fiction,4.02,"1,60,739",384,181,English,15.1k,257k
A Killing Frost,"September 1, 2020",Seanan McGuire,Urban Fantasy,4.33,"6,137",368,182,English,719,"2,639"
The Night Country,"January 7, 2020",Melissa Albert,Fantasy,3.71,"19,062",331,183,English,"1,103",45.1k
"Fence, Vol. 4: Rivals","June 30, 2020",C.S. Pacat,Graphic Novels,4.22,"14,009",112,183,English,97,"5,947"
Blood & Honey,"September 1, 2020",Shelby Mahurin,Fantasy,3.52,"1,28,148",536,185,English,13.7k,161k
The Law of Innocence,"November 10, 2020",Michael Connelly,Mystery,4.35,"69,178",432,186,English,14.3k,18.2k
Pretty Things,"April 21, 2020",Janelle Brown,Fiction,3.9,"83,311",496,187,English,"7,264",99k
Sharks in the Time of Saviors,"March 3, 2020",Kawai Strong Washburn,Fiction,3.83,"19,963",376,188,English,"2,023",46.5k
The Ickabog,"November 20, 2020",J.K. Rowling,Fantasy,3.91,"51,166",290,189,English,"3,867",43.2k
Well Played,"September 22, 2020",Jen DeLuca,Romance,3.52,"30,994",332,190,English,626,27.6k
The Edge of Belonging,"September 8, 2020",Amanda Cox,Christian Fiction,4.44,"2,520",384,191,English,476,"6,224"
Interior Chinatown,"January 28, 2020",Charles Yu,Fiction,3.96,"63,047",288,192,English,"5,459",91k
Inheritors,"July 14, 2020",Asako Serizawa,Fiction,3.77,"1,058",288,193,English,136,"7,877"
Upright Women Wanted,"February 4, 2020",Sarah Gailey,Fiction,3.61,"22,030",176,194,English,658,33.6k
Hollowpox: The Hunt for Morrigan Crow,"February 4, 2020",Jessica Townsend,Fantasy,4.48,"25,361",471,195,English,"1,011",15.9k
When Time Stopped: A Memoir of My Father's War and What Remains,"February 4, 2020",Ariana Neumann,Nonfiction,4.33,"7,058",336,196,English,"1,625",27.9k
Bitter Falls,"January 21, 2020",Rachel Caine,Thriller,4.28,"26,766",332,197,English,"5,814",16.8k
Epic,"February 11, 2020",Sarina Bowen,Romance,4.26,"16,772",78,197,English,442,"8,460"
Sweet Temptation,"March 10, 2020",Cora Reilly,Romance,3.99,"75,131",292,199,English,"5,264",54.5k
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,"June 16, 2020",Max Brooks,Horror,3.91,"51,737",286,199,English,"3,291",62.1k
All the Devils Are Here,"September 1, 2020",Louise Penny,Mystery,4.43,"74,863",439,201,English,12.4k,29.6k
Kiss My Cupcake,"August 11, 2020",Helena Hunting,Romance,3.86,"19,377",368,202,English,904,25.1k
When These Mountains Burn,"August 18, 2020",David Joy,Fiction,4.07,"3,834",272,203,English,257,10.5k
More Myself: A Journey,"March 31, 2020",Alicia Keys,Memoir,4.14,"17,991",272,204,English,"1,532",19.8k
Utopia Avenue,"July 14, 2020",David Mitchell,Fiction,4,"25,134",574,205,English,"2,882",54.8k
"Girl, Serpent, Thorn","July 7, 2020",Melissa Bashardoust,Fantasy,3.65,"39,753",322,206,English,"1,909",132k
Riot House,"April 29, 2020",Callie Hart,Romance,3.88,"24,163",465,207,English,"6,067","7,077"
You Should See Me in a Crown,"June 2, 2020",Leah Johnson,Young Adult,4.08,"42,293",336,208,English,"1,036",78.7k
Broken Fae,"August 31, 2020",Caroline Peckham,Fantasy,4.39,"40,396",672,209,English,"4,848",22.4k
When No One Is Watching,"September 1, 2020",Alyssa Cole,Thriller,3.49,"1,02,943",352,210,English,"8,184",191k
To Have and to Hoax,"April 7, 2020",Martha Waters,Romance,3.38,"19,222",367,211,English,"1,068",30.1k
The Takeover,"August 27, 2020",T.L. Swan,Romance,4.4,"1,23,655",477,211,English,17k,57.7k
Dear Emmie Blue,"July 14, 2020",Lia Louis,Romance,4.1,"19,718",312,211,English,"1,002",31.8k
The Vanished Birds,"January 14, 2020",Simon Jimenez,Science Fiction,4.07,"8,809",391,211,English,586,35.7k
Long Range,"March 3, 2020",C.J. Box,Mystery,4.41,"22,446",384,215,,"6,265","5,350"
Godshot,"March 31, 2020",Chelsea Bieker,Fiction,3.77,"10,165",325,216,English,737,33.9k
Apeirogon,"September 15, 2019",Colum McCann,Fiction,4.25,"24,008",15,216,English,"5,835",44.4k
The Knockout Queen,"April 28, 2020",Rufi Thorpe,Fiction,3.72,"13,119",277,218,,528,25.7k
"Dark Towers: Deutsche Bank, Donald Trump, and an Epic Trail of Destruction","February 18, 2020",David Enrich,Nonfiction,3.97,"5,265",432,219,English,"1,969","6,387"
The Rivals,"July 13, 2020",Vi Keeland,Romance,4.02,"30,167",353,220,English,"2,189",25.9k
Majesty,"September 1, 2020",Katharine McGee,Romance,3.75,"75,779",374,221,English,"2,586",43.8k
The Fire Never Goes Out: A Memoir in Pictures,"March 3, 2020",N.D. Stevenson,Graphic Novels,4.02,"8,535",198,222,English,118,15.7k
Hush,"October 6, 2020",Dylan Farrow,Fantasy,3.41,"2,649",374,222,English,162,11.6k
A Very Stable Genius: Donald J. Trump's Testing of America,"January 21, 2020",Philip Rucker,Politics,4.1,"12,464",480,224,English,"8,628",11.8k
Home Body,"November 17, 2020",Rupi Kaur,Poetry,4.06,"1,40,049",192,224,English,"4,083",128k
When the Tiger Came Down the Mountain,"December 8, 2020",Nghi Vo,Fantasy,4.17,"16,611",128,224,English,360,18.9k
"Love, Creekwood","June 30, 2020",Becky Albertalli,Young Adult,3.62,"12,694",128,227,English,315,13.3k
Alone in the Wild,"February 4, 2020",Kelley Armstrong,Mystery,4.2,"9,510",369,228,English,563,"4,665"
A Very Punchable Face,"July 14, 2020",Colin Jost,Memoir,4.2,"58,569",312,228,English,"2,225",50k
All the Stars and Teeth,"February 4, 2020",Adalyn Grace,Fantasy,3.66,"34,385",380,230,English,"2,120",137k
A Children's Bible,"May 12, 2020",Lydia Millet,Fiction,3.72,"37,948",224,230,English,"2,267",41.3k
The Eighth Detective,"August 4, 2020",Alex Pavesi,Mystery,3.51,"18,430",304,232,English,"1,744",20.7k
I Want to Be Where the Normal People Are,"November 17, 2020",Rachel Bloom,Nonfiction,3.97,"15,065",288,232,English,445,15.1k
Imaginary Numbers,"February 25, 2020",Seanan McGuire,Urban Fantasy,4.23,"3,721",437,234,English,523,"2,706"
Blood Countess,"January 28, 2020",Lana Popović,Historical Fiction,3.46,"2,806",293,234,English,107,14.3k
Follow Me,"February 25, 2020",Kathleen Barber,Thriller,3.68,"5,964",352,236,English,264,27.3k
Boss Man Bridegroom,"January 23, 2020",Meghan Quinn,Romance,4.34,"13,956",402,237,English,"4,664","8,108"
Chaos Reigning,"May 19, 2020",Jessie Mihalik,Romance,4.04,"5,910",416,238,English,351,"2,471"
Don't Keep Silent,"June 30, 2020",Elizabeth Goddard,Christian Fiction,4.3,933,368,238,English,98,"2,354"
