title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read,year
The Wolves in the Walls,"First published August 5, 2003",Neil Gaiman,Fantasy,4.04,18382,56.0,36,English,45,"9,707",2003
The Books of Magic,"First published January 1, 1993",Neil Gaiman,Comics,4.09,17810,200.0,37,English,435,17.3k,1993
M Is for Magic,"First published July 1, 2007",Neil Gaiman,Fantasy,3.81,18709,260.0,38,English,725,14.1k,2007
The View from the Cheap Seats: Selected Nonfiction,"First published May 31, 2016",Neil Gaiman,Nonfiction,3.97,16363,522.0,39,English,2450,35.4k,2016
"Snow, Glass, Apples","First published August 20, 2019",Neil Gaiman,Graphic Novels,4.07,14367,64.0,40,,429,15.5k,2019
The Sandman #1: Sleep of the Just,"First published January 1, 1989",Neil Gaiman,Comics,4.15,14005,42.0,41,English,221,"9,683",1989
Death: The Time of Your Life,"First published March 1, 1996",Neil Gaiman,Graphic Novels,4.24,13587,95.0,42,English,18,"6,234",1996
How the Marquis Got His Coat Back,"First published October 27, 2015",Neil Gaiman,Fantasy,4.05,13722,37.0,43,English,131,"8,858",2015
The Sandman: The Dream Hunters,"First published November 1, 2008",Neil Gaiman,Graphic Novels,4.45,12064,125.0,44,,85,"5,458",2008
The Quite Nice and Fairly Accurate Good Omens Script Book,"First published May 21, 2019",Neil Gaiman,Fantasy,4.66,10456,512.0,45,English,630,"9,790",2019
The Day I Swapped My Dad for Two Goldfish,"First published January 1, 1997",Neil Gaiman,Picture Books,3.99,11928,64.0,46,English,17,"5,238",1997
Black Orchid,"First published January 1, 1990",Neil Gaiman,Graphic Novels,3.73,11698,160.0,47,English,133,11.2k,1990
"The Absolute Sandman, Volume 2","First published July 1, 1992",Neil Gaiman,Comics,4.67,9121,616.0,48,Portuguese,217,"4,292",1992
The Truth Is a Cave in the Black Mountains,"First published June 1, 2010",Neil Gaiman,Fantasy,3.99,10631,74.0,49,English,203,"6,266",2010
Make Good Art,"First published May 14, 2013",Neil Gaiman,Nonfiction,4.29,9822,80.0,50,English,59,16.8k,2013
"The Absolute Sandman, Volume 4","First published February 1, 1996",Neil Gaiman,Comics,4.69,8930,608.0,51,Portuguese,62,"4,079",1996
Unnatural Creatures,"First published April 1, 2013",Neil Gaiman,Fantasy,3.88,10056,462.0,52,English,1400,27.2k,2013
Eternals,"First published November 1, 2006",Neil Gaiman,Comics,3.62,10760,256.0,53,English,449,"8,039",2006
The Sandman: Book of Dreams,"First published January 1, 1996",Neil Gaiman,Fantasy,4.28,9012,402.0,54,English,397,18.4k,1996
A Study in Emerald,"First published October 1, 2003",Neil Gaiman,Fantasy,4.17,9209,1.0,55,,47,10.5k,2003
Death,"First published January 1, 2012",Neil Gaiman,Graphic Novels,4.47,8523,320.0,56,English,427,"7,982",2012
"The Absolute Sandman, Volume 3","First published December 1, 1993",Neil Gaiman,Comics,4.69,8012,616.0,57,English,123,"4,058",1993
Hansel and Gretel,"First published October 1, 2014",Neil Gaiman,Fantasy,3.81,9117,56.0,58,English,71,25.7k,2014
Instructions,"First published April 27, 2010",Neil Gaiman,Fantasy,4.27,7725,40.0,59,English,26,"4,998",2010
"The Graveyard Book Graphic Novel, Volume 2","First published January 1, 2009",Neil Gaiman,Graphic Novels,4.31,7265,176.0,60,English,138,"2,919",2009
MirrorMask,"First published January 1, 2005",Neil Gaiman,Fantasy,3.85,8072,80.0,61,English,27,"5,668",2005
How to Talk to Girls at Parties,"First published June 28, 2016",Neil Gaiman,,3.62,8079,64.0,62,English,82,"4,734",2016
The Tragical Comedy or Comical Tragedy of Mr. Punch,"First published January 1, 1994",Neil Gaiman,Graphic Novels,3.77,7704,96.0,63,English,35,"5,901",1994
How to Talk to Girls at Parties,"First published January 1, 2007",Neil Gaiman,Short Stories,3.73,7746,11.0,64,English,121,"5,478",2007
"Snow, Glass, Apples","First published March 1, 1995",Neil Gaiman,Fantasy,4.14,6844,25.0,65,,35,"9,243",1995
A Study in Emerald,"First published June 27, 2018",Neil Gaiman,Graphic Novels,3.91,6983,88.0,66,English,236,"6,507",2018
Blueberry Girl,"First published March 10, 2009",Neil Gaiman,Picture Books,4.19,6248,32.0,67,English,25,"4,779",2009
Sandman. Tom 1. Sen sprawiedliwych,"First published January 1, 2004",Neil Gaiman,Comics,4.39,5959,100.0,68,Polish,14,"6,798",2004
Stories: All-New Tales,"First published June 15, 2010",Neil Gaiman,Short Stories,3.71,6919,428.0,69,English,831,"7,917",2010
The Monarch of the Glen,"First published September 25, 2006",Neil Gaiman,Fantasy,3.84,6323,128.0,70,English,79,11.6k,2006
Murder Mysteries,"First published October 1, 1992",Neil Gaiman,Graphic Novels,4.06,5929,64.0,71,English,65,"5,169",1992
Neverwhere: BBC Dramatisation,"First published September 5, 2013",Neil Gaiman,Fantasy,4.33,5442,4.0,72,,69,"1,810",2013
Chivalry,"First published October 31, 1992",Neil Gaiman,Fantasy,4.21,5464,72.0,73,English,57,"3,200",1992
The Silver Dream,"First published April 23, 2013",Neil Gaiman,Fantasy,3.6,6129,256.0,74,English,205,"4,946",2013
Neil Gaiman and Charles Vess' Stardust #1,"First published January 1, 2013",Neil Gaiman,Fantasy,4.37,4853,50.0,75,English,31,"5,165",2013
Chu's Day,"First published December 1, 1997",Neil Gaiman,Picture Books,3.86,5447,30.0,76,English,24,"4,077",1997
The Sandman: Overture #1,"First published October 13, 2013",Neil Gaiman,Comics,4.26,4813,18.0,77,English,36,"4,259",2013
The Quotable Sandman,"First published May 1, 2001",Neil Gaiman,Fantasy,4.52,4515,90.0,78,English,4,"2,285",2001
The Sandman,"First published August 28, 1990",Neil Gaiman,Fantasy,4.45,4445,560.0,79,English,871,"1,877",1990
1602: Part One,"First published October 29, 2003",Neil Gaiman,Comics,3.79,4994,35.0,80,English,0,"4,027",2003
"American Gods, Vol. 1: Shadows","First published February 28, 2018",Neil Gaiman,Graphic Novels,4.16,4539,262.0,81,English,343,"2,674",2018
The Dangerous Alphabet,"First published April 29, 2008",Neil Gaiman,Picture Books,4.07,4390,32.0,82,English,8,"3,041",2008
"The Sandman Omnibus, Vol. 1","First published August 27, 2013",Neil Gaiman,Comics,4.65,3654,1040.0,83,English,414,"3,953",2013
Violent Cases,"First published January 1, 1987",Neil Gaiman,Graphic Novels,3.79,4338,48.0,84,English,9,"2,877",1987
Signal to Noise,"First published January 1, 1990",Neil Gaiman,Comics,3.84,4273,80.0,85,English,44,"4,361",1990
Doctor Who: Nothing O'Clock,"First published November 21, 2013",Neil Gaiman,Doctor Who,4.19,3849,45.0,86,English,66,"2,778",2013
The Last Temptation,"First published January 1, 1997",Neil Gaiman,Graphic Novels,3.57,4508,104.0,87,English,65,"5,395",1997
"The Absolute Sandman, Volume 5","First published January 1, 2011",Neil Gaiman,Comics,4.65,3370,520.0,88,Portuguese,30,"2,927",2011
What You Need to Be Warm,"First published October 31, 2023",Neil Gaiman,Poetry,4.19,3619,32.0,89,English,28,"7,920",2023
Pirate Stew,"First published December 1, 2020",Neil Gaiman,Picture Books,3.51,4290,48.0,90,English,19,"2,573",2020
Cinnamon,"First published January 1, 1995",Neil Gaiman,Picture Books,3.65,4060,40.0,91,English,29,"2,007",1995
Crazy hair,"First published May 26, 2009",Neil Gaiman,Picture Books,3.97,3456,40.0,92,B00A2KEFRW,9,"1,641",2009
Eternity's Wheel,"First published May 1, 2015",Neil Gaiman,Fantasy,3.72,3539,288.0,93,English,153,"3,222",2015
Harlequin Valentine,"First published March 1, 1999",Neil Gaiman,Graphic Novels,3.74,3369,40.0,94,English,14,"2,145",1999
Neil Gaiman's Midnight Days,"First published December 8, 1999",Neil Gaiman,Graphic Novels,3.81,3245,208.0,95,English,143,"5,968",1999
Click-Clack the Rattlebag,"First published October 25, 2012",Neil Gaiman,Horror,4.1,2833,1.0,96,English,19,"2,206",2012
Black Dog,"First published November 3, 2016",Neil Gaiman,Fantasy,4.13,2800,96.0,97,English,51,"6,806",2016
"American Gods / Anansi Boys: Coffret, 2 volumes","First published January 1, 2012",Neil Gaiman,Fantasy,4.32,2578,1181.0,98,French,172,"2,760",2012
The Facts In The Case Of The Departure Of Miss Finch,"First published October 10, 2007",Neil Gaiman,Graphic Novels,3.53,2954,56.0,99,English,28,"2,055",2007
Creatures Of The Night,"First published December 19, 2000",Neil Gaiman,Graphic Novels,3.81,2508,46.0,100,English,15,"1,875",2000
The Neil Gaiman Audio Collection,"First published January 1, 2004",Neil Gaiman,Audiobook,4.21,2248,1.0,101,English,15,894,2004
The Neil Gaiman Reader: Selected Fiction,"First published October 6, 2020",Neil Gaiman,Fantasy,4.47,2042,752.0,102,English,936,21.3k,2020
"The Sandman Omnibus, Vol. 2","First published November 12, 2013",Neil Gaiman,Graphic Novels,4.71,1919,1033.0,103,English,148,"1,863",2013
The Sandman: Book Two,"First published March 24, 1992",Neil Gaiman,Fantasy,4.5,1890,544.0,104,,239,847,1992
The Graveyard Book,"Published January 1, 2015",Neil Gaiman,Graphic Novels,4.29,1912,358.0,105,Italian,77,986,2015
Coraline and Other Stories,"First published October 5, 2009",Neil Gaiman,Fantasy,4.11,1931,278.0,106,English,76,"2,205",2009
Angels and Visitations: A Miscellany,"First published April 1, 1989",Neil Gaiman,Fantasy,4.13,1766,166.0,107,English,24,"2,055",1989
Chu's First Day of School,"First published January 1, 2014",Neil Gaiman,Picture Books,3.82,1890,30.0,108,English,12,929,2014
"Miracleman, Book One: The Golden Age","First published January 1, 1992",Neil Gaiman,Comics,3.91,1831,192.0,109,English,32,"1,313",1992
"American Gods, Vol. 2: My Ainsel","First published April 23, 2019",Neil Gaiman,Graphic Novels,4.21,1681,232.0,110,English,84,"1,150",2019
"The Sandman: The Deluxe Edition, Book One","First published November 3, 2020",Neil Gaiman,Graphic Novels,4.37,1592,528.0,111,English,216,802,2020
"Norse Mythology, Vol. 1","First published March 23, 2021",Neil Gaiman,Graphic Novels,4.11,1664,160.0,112,English,77,918,2021
Forbidden Brides of the Faceless Slaves in the Secret House of the Night of Dread Desire,"First published January 25, 2017",Neil Gaiman,Graphic Novels,3.28,2062,48.0,113,English,49,"1,107",2017
Chu's Day at the Beach,"First published April 7, 2015",Neil Gaiman,Picture Books,3.85,1551,32.0,114,English,6,687,2015
The Sandman #2: Imperfect Hosts,"First published January 1, 1988",Neil Gaiman,Comics,4.26,1339,25.0,115,English,21,291,1988
The Sandman #3: ... Dream a Little Dream of Me,"Published March 1, 1989",Neil Gaiman,Comics,4.37,1217,32.0,116,English,9,307,1989
Sandman Midnight Theatre,"First published July 1, 1995",Neil Gaiman,Graphic Novels,3.89,1364,64.0,117,English,7,"1,739",1995
The Sandman: Overture #2,"First published May 1, 2014",Neil Gaiman,Comics,4.53,1171,17.0,118,English,15,"1,523",2014
"I, Cthulhu, or, Whatâs a Tentacle-Faced Thing Like Me Doing in a Sunken City Like This (Latitude 47Â° 9â² S, Longitude 126Â° 43â² W)?","First published January 1, 1986",Neil Gaiman,Short Stories,3.74,1349,12.0,119,English,3,"1,166",1986
The Sandman #4: Hope in Hell,"First published January 1, 1988",Neil Gaiman,Comics,4.43,1128,25.0,120,B0DN1QZDB8,11,313,1988
The Sandman: Book Three,"First published November 2, 1993",Neil Gaiman,Fantasy,4.46,1112,528.0,121,English,109,702,1993
Shoggoth's Old Peculiar,"First published June 1, 1998",Neil Gaiman,Fantasy,4.01,1229,44.0,122,English,2,"1,406",1998
Likely Stories,"First published October 16, 2018",Neil Gaiman,Graphic Novels,3.38,1371,80.0,123,English,45,536,2018
MirrorMask: The Illustrated Film Script,"First published May 3, 2005",Neil Gaiman,Fantasy,3.98,1153,336.0,124,English,5,668,2005
Troll Bridge,"First published January 1, 1993",Neil Gaiman,Fantasy,3.93,1134,13.0,125,English,8,862,1993
The Sandman #8: The Sound of Her Wings,"First published August 1, 1989",Neil Gaiman,Comics,4.57,968,26.0,126,English,8,283,1989
"American Gods, Vol. 3: The Moment of the Storm","First published May 19, 2020",Neil Gaiman,Graphic Novels,4.28,1031,224.0,127,English,41,615,2020
Only the End of the World Again,"First published October 1, 1994",Neil Gaiman,Graphic Novels,3.34,1301,48.0,128,English,36,"1,227",1994
Troll Bridge,"First published October 4, 2016",Neil Gaiman,Graphic Novels,3.86,1126,64.0,129,English,14,577,2016
Other People,"First published October 1, 2001",Neil Gaiman,Short Stories,4.03,1056,3.0,130,English,9,"1,080",2001
The Sandman #5: Passengers,"First published January 1, 1993",Neil Gaiman,Comics,4.19,1003,26.0,131,English,15,221,1993
The Sandman #6: 24 Hours,"First published June 1, 1989",Neil Gaiman,,4.28,979,26.0,132,English,5,254,1989
"The Annotated Sandman, Vol. 1","First published January 27, 2011",Neil Gaiman,Graphic Novels,4.45,920,560.0,133,English,71,"1,242",2011
A Calendar of Tales,"First published February 1, 2013",Neil Gaiman,Short Stories,4.21,969,31.0,134,,21,"1,162",2013
"Neil Gaiman/Chris Riddell 3-Book Box Set: Coraline; The Graveyard Book; Fortunately, the Milk","First published September 8, 2015",Neil Gaiman,Fantasy,4.63,876,512.0,135,English,64,"1,029",2015
The Sandman: Overture #3,"First published September 1, 2014",Neil Gaiman,Comics,4.44,882,36.0,136,English,8,585,2014
The Sandman Volumes 1-10 Box,"First published November 13, 2012",Neil Gaiman,Graphic Novels,4.73,809,2050.0,137,English,28,715,2012
"Sandman Special, Bd.2, Der Gesang Des Orpheus","First published January 1, 1991",Neil Gaiman,Comics,4.26,893,56.0,138,,7,857,1991
The Sandman #7: Sound and Fury,"Published July 1, 1989",Neil Gaiman,Comics,4.24,897,26.0,139,English,4,225,1989
The Sandman: Book Four,"First published January 23, 1996",Neil Gaiman,Fantasy,4.59,815,528.0,140,English,63,686,1996
American Gods: Shadows #1,"Published March 15, 2017",Neil Gaiman,Fantasy,4.03,908,37.0,141,English,170,"1,012",2017
The Problem of Susan and Other Stories,"First published January 23, 2019",Neil Gaiman,Fantasy,3.5,1040,77.0,142,English,40,830,2019
Two Plays for Voices,"First published September 1, 2002",Neil Gaiman,Fantasy,4.17,812,2.0,143,English,5,652,2002
The Sandman #9: Tales in the Sand,"First published September 1, 1989",Neil Gaiman,Comics,4.29,777,26.0,144,English,13,232,1989
"Hearts, Keys, and Puppetry","First published February 1, 2010",Neil Gaiman,Fantasy,3.18,1034,2.0,145,English,14,459,2010
The Sandman Universe #1,"First published August 8, 2018",Neil Gaiman,Comics,3.91,828,48.0,146,Polish,32,"2,875",2018
"The Sandman: The Deluxe Edition, Book Two","First published March 16, 2021",Neil Gaiman,Graphic Novels,4.46,726,456.0,147,English,100,460,2021
The Best American Comics 2010,"First published October 5, 2010",Neil Gaiman,Comics,3.71,843,352.0,148,B00D824SJG,14,604,2010
We Can Get Them For You Wholesale,"First published January 1, 1984",Neil Gaiman,Short Stories,4.02,739,10.0,149,English,3,892,1984
Dc Universe by Neil Gaiman,"First published July 26, 2016",Neil Gaiman,Comics,3.88,761,208.0,150,English,32,540,2016
The Sandman #11: Moving In,"First published December 1, 1989",Neil Gaiman,Comics,4.29,686,26.0,151,English,11,240,1989
The Sandman #13: Men of Good Fortune,"Published January 31, 1990",Neil Gaiman,Comics,4.48,637,26.0,152,English,10,236,1990
The Sandman #10: The Dollâs House,"First published November 1, 1989",Neil Gaiman,Comics,4.21,676,24.0,153,English,9,268,1989
"Norse Mythology, Vol. 2","Published April 5, 2022",Neil Gaiman,Graphic Novels,4.06,689,152.0,154,,28,304,2022
The Sandman #12: Playing House,"First published February 1, 2015",Neil Gaiman,Comics,4.28,649,25.0,155,English,10,216,2015
The Sandman: Overture #4,"First published January 1, 1988",Neil Gaiman,Comics,4.46,622,32.0,156,Spanish; Castilian,6,483,1988
Free Country: A Tale of the Children's Crusade,"First published September 22, 2015",Neil Gaiman,Graphic Novels,3.47,797,416.0,157,English,17,"2,833",2015
Coisas FrÃ¡geis,"First published September 25, 2006",Neil Gaiman,Fantasy,3.88,705,205.0,158,,19,347,2006
The Man Who Forgot Ray Bradbury,"First published June 7, 2012",Neil Gaiman,Short Stories,4.32,624,10.0,159,English,1,"1,117",2012
The Sandman #18: A Dream of a Thousand Cats,"First published January 1, 1994",Neil Gaiman,Comics,4.27,626,25.0,160,English,7,322,1994
The Sandman #14: Collectors,"Published February 28, 1990",Neil Gaiman,Comics,4.38,580,40.0,161,English,6,186,1990
The Sandman #17: Calliope,"Published December 17, 2016",Neil Gaiman,Comics,4.34,578,24.0,162,English,5,207,2016
Stardust - BBC Dramatisation,"First published April 2, 2019",Neil Gaiman,Fantasy,4.25,581,2.0,163,English,4,223,2019
"The Sandman Omnibus, Vol. 3","Published May 31, 1990",Neil Gaiman,Comics,4.58,528,919.0,164,B0DM294VF8,48,846,1990
The Sandman #16: Lost Hearts,"First published July 1, 2015",Neil Gaiman,Comics,4.34,551,26.0,165,English,4,194,2015
The Sandman #15: Into the Night,"Published September 29, 2010",Neil Gaiman,Comics,4.2,555,22.0,166,English,8,204,2010
The Sandman: Overture #5,"First published August 3, 2021",Neil Gaiman,Comics,4.42,527,18.0,167,English,7,433,2021
"The Sandman: The Deluxe Edition, Book Three","Published September 1, 1990",Neil Gaiman,Graphic Novels,4.45,520,544.0,168,English,46,446,1990
The Sandman #19: A Midsummer Night's Dream,"First published January 1, 1991",Neil Gaiman,Comics,3.91,581,27.0,169,English,10,243,1991
The Sandman #31: Three Septembers and a January,"First published October 1, 1990",Neil Gaiman,Comics,4.35,509,26.0,170,English,3,218,1990
The Sandman #20: FaÃ§ade,"First published June 9, 2020",Neil Gaiman,Comics,4.29,516,26.0,171,English,6,188,2020
The Neil Gaiman Library Volume 1,"First published November 1, 1994",Neil Gaiman,Comics,4.05,545,312.0,172,English,34,551,1994
A Death Gallery,"First published November 1, 2015",Neil Gaiman,,4.36,477,34.0,173,English,4,781,2015
The Sandman: Overture #6,"First published January 1, 1991",Neil Gaiman,Comics,4.55,454,61.0,174,Spanish; Castilian,6,383,1991
The Sandman #29: Thermidor,"First published June 23, 2010",Neil Gaiman,Comics,3.82,532,26.0,175,English,8,223,2010
Batman Black & White: A Black and White World,"First published January 1, 1991",Neil Gaiman,Comics,3.71,530,11.0,176,English,146,314,1991
The Sandman #30: August,"Published August 1, 1995",Neil Gaiman,Comics,4.0,484,26.0,177,English,7,193,1995
Spawn: Angela's Hunt,"First published March 1, 1991",Neil Gaiman,Comics,3.68,522,100.0,178,English,1,615,1991
The Sandman #23: Season of Mists Chapter 2,"First published January 1, 1994",Neil Gaiman,Comics,4.51,412,25.0,179,English,6,170,1994
The Sandman: Gallery of Dreams,"First published January 1, 1993",Neil Gaiman,,4.46,414,34.0,180,,3,806,1993
Death: The High Cost of Living #1,"Published March 3, 1993",Neil Gaiman,Comics,4.4,414,32.0,181,English,9,426,1993
The Sandman #50: Ramadan,"First published September 9, 2005",Neil Gaiman,Comics,4.3,424,40.0,182,English,6,209,2005
Sunbird,"Published October 31, 1990",Neil Gaiman,Fantasy,4.21,429,30.0,183,English,4,622,1990
The Sandman #21: Season of Mists - A Prologue,"Published May 1, 2010",Neil Gaiman,Comics,4.42,408,26.0,184,Portuguese,4,160,2010
Sandman Absolute 1: SueÃ±o,"First published January 1, 1991",Neil Gaiman,Comics,4.58,392,496.0,185,Spanish; Castilian,20,227,1991
The Sandman #22: Season of Mists Chapter 1,"First published November 23, 2021",Neil Gaiman,Comics,4.35,410,26.0,186,English,2,171,2021
"The Sandman: The Deluxe Edition, Book Four","Published April 12, 2017",Neil Gaiman,Graphic Novels,4.45,373,536.0,187,English,46,444,2017
American Gods: Shadows #2,"First published March 1, 1991",Neil Gaiman,Graphic Novels,4.12,394,30.0,188,B0DN23NN9W,62,442,1991
The Sandman #24: Season of Mists Chapter 3,"First published April 1, 1991",Neil Gaiman,Comics,4.3,377,26.0,189,English,6,161,1991
The Sandman #25: Season of Mists Chapter 4,"First published March 22, 2013",Neil Gaiman,Comics,4.26,380,26.0,190,English,6,177,2013
Down to a Sunless Sea,"First published August 23, 2011",Neil Gaiman,Short Stories,3.73,431,5.0,191,English,677,,2011
"The Year's Best Dark Fantasy & Horror, 2011 Edition","Published April 30, 1991",Neil Gaiman,Horror,3.82,418,544.0,192,English,75,750,1991
The Sandman #26: Season of Mists Chapter 5,"Published May 31, 1991",Neil Gaiman,Comics,4.33,363,26.0,193,English,4,155,1991
The Sandman #27: Season of Mists Chapter 6,"Published March 7, 2019",Neil Gaiman,Comics,4.34,359,25.0,194,Spanish; Castilian,1,164,2019
Norse Mythology: A BBC Radio 4 full-cast dramatisation,"Published June 30, 1991",Neil Gaiman,Audiobook,4.32,355,,195,1787534618,2,255,1991
The Sandman #28: Season of Mists Epilogue,"First published January 1, 1997",Neil Gaiman,Comics,4.32,351,25.0,196,Portuguese,1,157,1997
The Price,"First published October 1, 2012",Neil Gaiman,Short Stories,4.09,369,20.0,197,English,314,,2012
"The Annotated Sandman, Vol. 2","First published January 1, 2005",Neil Gaiman,Graphic Novels,4.52,333,519.0,198,English,16,758,2005
Sandman Absolute 2: Deseo,"Published February 28, 2023",Neil Gaiman,Comics,4.6,327,496.0,199,Spanish; Castilian,11,121,2023
Now We Are Sick,"First published January 1, 1991",Neil Gaiman,Poetry,3.69,403,108.0,200,,5,960,1991
"Norse Mythology, Vol. 3","First published September 25, 2006",Neil Gaiman,Graphic Novels,4.16,359,152.0,201,English,12,189,2006
October in the Chair,"First published December 1, 2002",Neil Gaiman,Fantasy,4.13,353,50.0,202,English,4,339,2002
Coisas frÃ¡geis 2,"First published April 1, 2003",Neil Gaiman,Fiction,3.8,384,166.0,203,Portuguese,0,,2003
Bitter Grounds,"First published January 1, 1984",Neil Gaiman,Short Stories,3.39,422,17.0,204,,3,413,1984
The Case of the Four and Twenty Blackbirds,"Published November 21, 2019",Neil Gaiman,Fantasy,3.57,399,16.0,205,English,1,481,2019
The American Gods Quartet,"First published March 2, 2009",Neil Gaiman,Fantasy,4.36,311,674.0,206,English,122,521,2009
The Day The Saucers Came,"Published November 3, 2016",Neil Gaiman,Poetry,4.17,325,3.0,207,English,1,315,2016
Neil Gaiman's How the Marquis Got His Coat Back,"First published January 1, 2002",Neil Gaiman,Fantasy,4.19,315,1.0,208,,2,135,2002
Adventures in the Dream Trade,"First published July 1, 1995",Neil Gaiman,Fantasy,3.63,353,286.0,209,English,0,"1,037",1995
The Return of the Thin White Duke,"First published February 3, 2015",Neil Gaiman,Fantasy,3.74,342,14.0,210,English,531,,2015
Warning: Contains Language,"Published November 28, 2015",Neil Gaiman,Fantasy,4.14,308,2.0,211,963094475,3,466,2015
Sandman: Muerte,"First published January 1, 2011",Neil Gaiman,Comics,4.2,302,216.0,212,Finnish,7,100,2011
A Little Gold Book of Ghastly Stuff,"First published July 27, 2012",Neil Gaiman,Fantasy,3.58,347,158.0,213,English,16,873,2012
Sandman Absolute 3: Delirio,"Published October 6, 2020",Neil Gaiman,Comics,4.51,274,408.0,214,Spanish; Castilian,2,120,2020
Sandman Box Set,"First published June 1, 1992",Neil Gaiman,Fantasy,4.72,262,3000.0,215,English,24,398,1992
The Sandman #38: The Hunt,"Published October 31, 1991",Neil Gaiman,Comics,4.1,300,26.0,216,,4,149,1991
